lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-11-13 19:15:25.462560,0.005534299183636904,3.004236896231305e-05,0.005534299183636904,3049.0,10.0,,,,,,,,,
0.005,2022-11-13 19:16:13.397888,,,,,,,,,,,,,,
,2022-11-13 19:16:14.365887,0.002467827871441841,1.4843730241409503e-05,0.002467827871441841,3099.0,10.0,,,,,,,,,
0.005,2022-11-13 19:17:02.655936,,,,,,,,,,,,,,
,2022-11-13 19:17:03.629677,0.12254156172275543,0.0004062317602802068,0.12254156172275543,3149.0,10.0,,,,,,,,,
0.005,2022-11-13 19:17:51.832496,,,,,,,,,,,,,,
,2022-11-13 19:17:52.809316,0.0078062680549919605,4.0395072574028745e-05,0.0078062680549919605,3199.0,10.0,,,,,,,,,
0.005,2022-11-13 19:18:40.953227,,,,,,,,,,,,,,
,2022-11-13 19:18:41.929842,0.16312502324581146,0.0005381360533647239,0.16312502324581146,3249.0,10.0,,,,,,,,,
0.005,2022-11-13 19:19:29.836377,,,,,,,,,,,,,,
,2022-11-13 19:19:30.811877,0.15064199268817902,0.0004950600559823215,0.15064199268817902,3299.0,10.0,,,,,,,,,
,2022-11-13 19:19:36.480353,,,,,10.0,0.248118594288826,0.002066132379695773,0.248118594288826,0.23484857380390167,0.0025973014999181032,0.23484857380390167,,,
,2022-11-13 19:19:36.595674,,,,,10.0,,,,,,,0.15318289399147034,0.003395035630092025,0.15318289399147034
0.005,2022-11-13 19:20:27.206771,,,,,,,,,,,,,,
,2022-11-13 19:20:28.183860,0.29645100235939026,0.0013463633367791772,0.29645100235939026,3349.0,11.0,,,,,,,,,
0.005,2022-11-13 19:21:16.134197,,,,,,,,,,,,,,
,2022-11-13 19:21:17.110956,0.399406373500824,0.003870784305036068,0.399406373500824,3399.0,11.0,,,,,,,,,
0.005,2022-11-13 19:22:05.329788,,,,,,,,,,,,,,
,2022-11-13 19:22:06.306179,0.009860699996352196,4.950064612785354e-05,0.009860699996352196,3449.0,11.0,,,,,,,,,
0.005,2022-11-13 19:22:54.469713,,,,,,,,,,,,,,
,2022-11-13 19:23:47.119199,0.02474459819495678,0.00010535902401898056,0.02474459819495678,3499.0,11.0,,,,,,,,,
0.005,2022-11-13 19:24:35.292014,,,,,,,,,,,,,,
,2022-11-13 19:24:36.274945,0.032476410269737244,0.0001308559294557199,0.032476410269737244,3549.0,11.0,,,,,,,,,
0.005,2022-11-13 19:25:24.260341,,,,,,,,,,,,,,
,2022-11-13 19:25:25.236225,0.3247775137424469,0.0016704007284715772,0.3247775137424469,3599.0,11.0,,,,,,,,,
,2022-11-13 19:25:30.889363,,,,,11.0,0.1174035295844078,0.00039973261300474405,0.1174035295844078,0.20334790647029877,0.0008672222611494362,0.20334790647029877,,,
,2022-11-13 19:25:30.993268,,,,,11.0,,,,,,,0.15384435653686523,0.001751705422066152,0.15384435653686523
0.005,2022-11-13 19:26:21.535397,,,,,,,,,,,,,,
,2022-11-13 19:26:22.507002,0.0449160560965538,0.00017538177780807018,0.0449160560965538,3649.0,12.0,,,,,,,,,
0.005,2022-11-13 19:27:10.482934,,,,,,,,,,,,,,
,2022-11-13 19:27:11.452801,0.0064006382599473,3.4344153391430154e-05,0.0064006382599473,3699.0,12.0,,,,,,,,,
0.005,2022-11-13 19:27:59.647874,,,,,,,,,,,,,,
,2022-11-13 19:28:00.628787,0.04914099723100662,0.0001848549145506695,0.04914099723100662,3749.0,12.0,,,,,,,,,
0.005,2022-11-13 19:28:48.807383,,,,,,,,,,,,,,
,2022-11-13 19:28:49.784781,0.012460237368941307,6.0086629673605785e-05,0.012460237368941307,3799.0,12.0,,,,,,,,,
0.005,2022-11-13 19:29:38.031131,,,,,,,,,,,,,,
,2022-11-13 19:29:39.008894,0.3834717869758606,0.002580862957984209,0.3834717869758606,3849.0,12.0,,,,,,,,,
0.005,2022-11-13 19:30:27.109687,,,,,,,,,,,,,,
,2022-11-13 19:30:28.084262,0.45861491560935974,0.00552564999088645,0.45861491560935974,3899.0,12.0,,,,,,,,,
,2022-11-13 19:30:33.726001,,,,,12.0,0.3262577950954437,0.04482583329081535,0.3262577950954437,0.3565247058868408,0.006528246682137251,0.3565247058868408,,,
,2022-11-13 19:30:33.850865,,,,,12.0,,,,,,,0.14522552490234375,0.001678377389907837,0.14522552490234375
0.005,2022-11-13 19:31:24.339404,,,,,,,,,,,,,,
,2022-11-13 19:31:25.317469,0.3090946674346924,0.0015751956962049007,0.3090946674346924,3949.0,13.0,,,,,,,,,
0.005,2022-11-13 19:32:13.234835,,,,,,,,,,,,,,
,2022-11-13 19:33:06.346083,0.35844630002975464,0.0021306341513991356,0.35844630002975464,3999.0,13.0,,,,,,,,,
0.005,2022-11-13 19:33:54.630972,,,,,,,,,,,,,,
,2022-11-13 19:33:55.613780,0.004742828197777271,2.6160150810028426e-05,0.004742828197777271,4049.0,13.0,,,,,,,,,
0.005,2022-11-13 19:34:43.730429,,,,,,,,,,,,,,
,2022-11-13 19:34:44.713038,0.014961435459554195,7.022713543847203e-05,0.014961435459554195,4099.0,13.0,,,,,,,,,
0.005,2022-11-13 19:35:32.691400,,,,,,,,,,,,,,
,2022-11-13 19:35:33.677026,0.01606377586722374,7.466096576536074e-05,0.01606377586722374,4149.0,13.0,,,,,,,,,
0.005,2022-11-13 19:36:21.850225,,,,,,,,,,,,,,
,2022-11-13 19:36:22.836726,0.22153113782405853,0.0007927454425953329,0.22153113782405853,4199.0,13.0,,,,,,,,,
,2022-11-13 19:36:29.387370,,,,,13.0,0.35306644439697266,0.005788637325167656,0.35306644439697266,0.1327909678220749,0.0011432756436988711,0.1327909678220749,,,
,2022-11-13 19:36:29.507432,,,,,13.0,,,,,,,0.16090942919254303,0.004010691307485104,0.16090942919254303
0.005,2022-11-13 19:37:19.935697,,,,,,,,,,,,,,
,2022-11-13 19:37:20.903888,0.07839016616344452,0.0002768475969787687,0.07839016616344452,4249.0,14.0,,,,,,,,,
0.005,2022-11-13 19:38:08.864060,,,,,,,,,,,,,,
,2022-11-13 19:38:09.853278,0.06841768324375153,0.0002473528729751706,0.06841768324375153,4299.0,14.0,,,,,,,,,
0.005,2022-11-13 19:38:58.015205,,,,,,,,,,,,,,
,2022-11-13 19:38:59.003810,0.08724843710660934,0.0003005203325301409,0.08724843710660934,4349.0,14.0,,,,,,,,,
0.005,2022-11-13 19:39:47.212153,,,,,,,,,,,,,,
,2022-11-13 19:39:48.191646,0.24097582697868347,0.0009050541557371616,0.24097582697868347,4399.0,14.0,,,,,,,,,
0.005,2022-11-13 19:40:36.424793,,,,,,,,,,,,,,
,2022-11-13 19:40:37.401350,0.03755901753902435,0.0001507751439930871,0.03755901753902435,4449.0,14.0,,,,,,,,,
0.005,2022-11-13 19:41:25.506559,,,,,,,,,,,,,,
,2022-11-13 19:42:18.398784,0.1598387211561203,0.0005267913802526891,0.1598387211561203,4499.0,14.0,,,,,,,,,
,2022-11-13 19:45:00.738800,,,,,14.0,0.15338273346424103,0.0011471412144601345,0.15338273346424103,0.19897790253162384,0.0011610635556280613,0.19897790253162384,,,
,2022-11-13 19:45:00.824295,,,,,14.0,,,,,,,0.1447017788887024,0.0011315490119159222,0.1447017788887024
0.005,2022-11-13 19:45:51.370795,,,,,,,,,,,,,,
,2022-11-13 19:45:52.343252,0.0047324663028120995,2.640755701577291e-05,0.0047324663028120995,4549.0,15.0,,,,,,,,,
0.005,2022-11-13 19:46:40.311872,,,,,,,,,,,,,,
,2022-11-13 19:46:41.291256,0.13357022404670715,0.0004394027346279472,0.13357022404670715,4599.0,15.0,,,,,,,,,
0.005,2022-11-13 19:47:29.510298,,,,,,,,,,,,,,
,2022-11-13 19:47:30.483792,0.3324589729309082,0.0018535854760557413,0.3324589729309082,4649.0,15.0,,,,,,,,,
0.005,2022-11-13 19:48:18.667967,,,,,,,,,,,,,,
,2022-11-13 19:48:19.641795,0.025759736075997353,0.00010924754315055907,0.025759736075997353,4699.0,15.0,,,,,,,,,
0.005,2022-11-13 19:49:07.715446,,,,,,,,,,,,,,
,2022-11-13 19:49:08.686631,0.01747690699994564,8.009820157894865e-05,0.01747690699994564,4749.0,15.0,,,,,,,,,
0.005,2022-11-13 19:49:56.662485,,,,,,,,,,,,,,
,2022-11-13 19:49:57.634476,0.2941913604736328,0.001385407173074782,0.2941913604736328,4799.0,15.0,,,,,,,,,
,2022-11-13 19:50:03.297921,,,,,15.0,0.09508189558982849,0.0003243009268771857,0.09508189558982849,0.3683341443538666,0.047718148678541183,0.3683341443538666,,,
,2022-11-13 19:50:03.413533,,,,,15.0,,,,,,,0.15686602890491486,0.00348616112023592,0.15686602890491486
0.005,2022-11-13 19:50:53.879001,,,,,,,,,,,,,,
,2022-11-13 19:50:54.857747,0.29352089762687683,0.0012585249496623874,0.29352089762687683,4849.0,16.0,,,,,,,,,
0.005,2022-11-13 19:51:42.870048,,,,,,,,,,,,,,
,2022-11-13 19:51:43.850342,0.11945091187953949,0.000397129071643576,0.11945091187953949,4899.0,16.0,,,,,,,,,
0.005,2022-11-13 19:52:32.035272,,,,,,,,,,,,,,
,2022-11-13 19:52:33.014503,0.3782687187194824,0.0028401745948940516,0.3782687187194824,4949.0,16.0,,,,,,,,,
0.005,2022-11-13 19:53:21.099518,,,,,,,,,,,,,,
,2022-11-13 19:54:13.999503,0.31095439195632935,0.0014221309684216976,0.31095439195632935,4999.0,16.0,,,,,,,,,
0.005,2022-11-13 19:55:02.434579,,,,,,,,,,,,,,
,2022-11-13 19:55:03.419034,0.2858717739582062,0.0012185851810500026,0.2858717739582062,5049.0,16.0,,,,,,,,,
0.005,2022-11-13 19:55:51.512633,,,,,,,,,,,,,,
,2022-11-13 19:55:52.483244,0.009826906025409698,4.9047455831896514e-05,0.009826906025409698,5099.0,16.0,,,,,,,,,
,2022-11-13 19:55:58.242711,,,,,16.0,0.29523587226867676,0.009605731815099716,0.29523587226867676,0.26391926407814026,0.0027934638783335686,0.26391926407814026,,,
,2022-11-13 19:55:58.363851,,,,,16.0,,,,,,,0.14337347447872162,0.001388036529533565,0.14337347447872162
0.005,2022-11-13 19:56:49.022020,,,,,,,,,,,,,,
,2022-11-13 19:56:49.992728,0.04051667079329491,0.00015709901344962418,0.04051667079329491,5149.0,17.0,,,,,,,,,
0.005,2022-11-13 19:57:37.958278,,,,,,,,,,,,,,
,2022-11-13 19:57:38.933827,0.16973978281021118,0.0005616089329123497,0.16973978281021118,5199.0,17.0,,,,,,,,,
0.005,2022-11-13 19:58:27.250956,,,,,,,,,,,,,,
,2022-11-13 19:58:28.230976,0.056066036224365234,0.00020466942805796862,0.056066036224365234,5249.0,17.0,,,,,,,,,
0.005,2022-11-13 19:59:16.455545,,,,,,,,,,,,,,
,2022-11-13 19:59:17.423241,0.02722828835248947,0.00011427052231738344,0.02722828835248947,5299.0,17.0,,,,,,,,,
0.005,2022-11-13 20:00:05.448989,,,,,,,,,,,,,,
,2022-11-13 20:00:06.423901,0.24782007932662964,0.0009164531365968287,0.24782007932662964,5349.0,17.0,,,,,,,,,
0.005,2022-11-13 20:00:54.357126,,,,,,,,,,,,,,
,2022-11-13 20:00:55.329571,0.008873079903423786,4.4223055738257244e-05,0.008873079903423786,5399.0,17.0,,,,,,,,,
,2022-11-13 20:01:00.954176,,,,,17.0,0.1498611718416214,0.0005903830169700086,0.1498611718416214,0.06272763758897781,0.0002204244228778407,0.06272763758897781,,,
,2022-11-13 20:01:01.074798,,,,,17.0,,,,,,,0.15557976067066193,0.0017808085540309548,0.15557976067066193
0.005,2022-11-13 20:01:51.569076,,,,,,,,,,,,,,
,2022-11-13 20:01:52.549968,0.2568002939224243,0.000982730882242322,0.2568002939224243,5449.0,18.0,,,,,,,,,
0.005,2022-11-13 20:02:40.601071,,,,,,,,,,,,,,
,2022-11-13 20:03:33.457672,0.004079187288880348,2.302755819982849e-05,0.004079187288880348,5499.0,18.0,,,,,,,,,
0.005,2022-11-13 20:04:21.734457,,,,,,,,,,,,,,
,2022-11-13 20:04:22.715914,0.06747546792030334,0.0002444121637381613,0.06747546792030334,5549.0,18.0,,,,,,,,,
0.005,2022-11-13 20:05:10.935004,,,,,,,,,,,,,,
,2022-11-13 20:05:11.910096,0.03032384067773819,0.0001230993220815435,0.03032384067773819,5599.0,18.0,,,,,,,,,
0.005,2022-11-13 20:05:59.958729,,,,,,,,,,,,,,
,2022-11-13 20:06:00.948576,0.00466980691999197,2.590723852335941e-05,0.00466980691999197,5649.0,18.0,,,,,,,,,
0.005,2022-11-13 20:06:48.883928,,,,,,,,,,,,,,
